Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys  
--------  -------   --------  -----  ------  ---------  ---------  ---------  ----------
   36	  53.10	     0.97	-1	4      53.10	    0.00     54.07 	  0.97 
   21	  30.16	    13.78	2	2      40.53	   10.37     54.31 	 24.15 
   19	  24.93	     8.92	0	0      47.98	   23.05     56.90 	 31.97 
   32	  47.40	     2.71	2	2      54.31	    6.91     57.02 	  9.62 
   34	  50.51	    11.40	-1	5      50.51	    0.00     61.90 	 11.40 
   33	  48.34	     5.67	0	0      56.90	    8.56     62.57 	 14.23 
   31	  47.30	    13.26	1	1      51.72	    4.42     64.98 	 17.68 
   41	  64.17	     3.83	-1	5      64.17	    0.00     68.00 	  3.83 
   38	  54.29	    14.40	-1	4      54.29	    0.00     68.69 	 14.40 
   39	  58.21	    15.91	-1	2      58.21	    0.00     74.12 	 15.91 
   46	  71.64	     1.31	2	2      74.12	    2.48     75.43 	  3.79 
   29	  46.41	    32.38	-1	3      46.41	    0.00     78.79 	 32.38 
   40	  60.59	    16.54	0	0      62.57	    1.98     79.11 	 18.52 
   37	  53.86	    15.09	1	1      64.98	   11.12     80.07 	 26.21 
   43	  68.65	    12.62	-1	5      68.65	    0.00     81.27 	 12.62 
   35	  51.08	     2.84	3	3      78.79	   27.71     81.63 	 30.55 
   44	  70.58	    11.75	-1	4      70.58	    0.00     82.33 	 11.75 
   47	  73.79	     0.74	4	4      82.33	    8.54     83.06 	  9.28 
   45	  71.12	     3.07	1	1      80.07	    8.95     83.14 	 12.02 
   50	  81.95	     2.52	-1	3      81.95	    0.00     84.47 	  2.52 
   48	  75.84	     9.15	-1	2      75.84	    0.00     84.99 	  9.15 
   49	  77.41	     3.79	2	2      84.99	    7.58     88.78 	 11.37 
   51	  82.12	     8.85	-1	5      82.12	    0.00     90.97 	  8.85 
   52	  92.54	     2.87	-1	1      92.54	    0.00     95.41 	  2.87 
   53	  93.48	     2.37	-1	2      93.48	    0.00     95.85 	  2.37 
   42	  64.80	    16.99	0	0      79.11	   14.31     96.09 	 31.30 
   57	  98.77	     1.76	-1	3      98.77	    0.00    100.53 	  1.76 
   54	  96.28	     7.20	-1	0      96.28	    0.00    103.48 	  7.20 
